Date,year,doy,dap,value,depth_id,depth,treat,M_ID,meas_ID,type,sub_type,units
08/27/2014,2014,239,43,20.8775,TS2,5,CP,5,stemp,msr,NA,°C
08/28/2014,2014,240,44,20.08375,TS2,5,CP,5,stemp,msr,NA,°C
08/29/2014,2014,241,45,19.56104167,TS2,5,CP,5,stemp,msr,NA,°C
08/30/2014,2014,242,46,19.81333333,TS2,5,CP,5,stemp,msr,NA,°C
08/31/2014,2014,243,47,20.21739583,TS2,5,CP,5,stemp,msr,NA,°C
09/01/2014,2014,244,48,19.87740741,TS2,5,CP,5,stemp,msr,NA,°C
09/03/2014,2014,246,50,21.78666667,TS2,5,CP,5,stemp,msr,NA,°C
09/04/2014,2014,247,51,19.95083333,TS2,5,CP,5,stemp,msr,NA,°C
09/05/2014,2014,248,52,19.1084375,TS2,5,CP,5,stemp,msr,NA,°C
09/06/2014,2014,249,53,19.376875,TS2,5,CP,5,stemp,msr,NA,°C
09/07/2014,2014,250,54,19.75635417,TS2,5,CP,5,stemp,msr,NA,°C
09/08/2014,2014,251,55,20.9175,TS2,5,CP,5,stemp,msr,NA,°C
09/09/2014,2014,252,56,20.919375,TS2,5,CP,5,stemp,msr,NA,°C
09/10/2014,2014,253,57,21.0740625,TS2,5,CP,5,stemp,msr,NA,°C
09/11/2014,2014,254,58,21.5471875,TS2,5,CP,5,stemp,msr,NA,°C
09/12/2014,2014,255,59,21.95302083,TS2,5,CP,5,stemp,msr,NA,°C
09/13/2014,2014,256,60,21.75697917,TS2,5,CP,5,stemp,msr,NA,°C
09/14/2014,2014,257,61,21.75885417,TS2,5,CP,5,stemp,msr,NA,°C
09/15/2014,2014,258,62,21.8725,TS2,5,CP,5,stemp,msr,NA,°C
09/16/2014,2014,259,63,22.37572917,TS2,5,CP,5,stemp,msr,NA,°C
09/17/2014,2014,260,64,22.33510417,TS2,5,CP,5,stemp,msr,NA,°C
09/18/2014,2014,261,65,22.29864583,TS2,5,CP,5,stemp,msr,NA,°C
09/19/2014,2014,262,66,22.31510417,TS2,5,CP,5,stemp,msr,NA,°C
09/20/2014,2014,263,67,22.006875,TS2,5,CP,5,stemp,msr,NA,°C
09/21/2014,2014,264,68,21.82635417,TS2,5,CP,5,stemp,msr,NA,°C
09/22/2014,2014,265,69,20.8846875,TS2,5,CP,5,stemp,msr,NA,°C
09/23/2014,2014,266,70,20.70552083,TS2,5,CP,5,stemp,msr,NA,°C
09/24/2014,2014,267,71,21.35791667,TS2,5,CP,5,stemp,msr,NA,°C
09/25/2014,2014,268,72,21.78489583,TS2,5,CP,5,stemp,msr,NA,°C
09/26/2014,2014,269,73,22.10729167,TS2,5,CP,5,stemp,msr,NA,°C
09/27/2014,2014,270,74,21.86552083,TS2,5,CP,5,stemp,msr,NA,°C
09/28/2014,2014,271,75,22.26572917,TS2,5,CP,5,stemp,msr,NA,°C
09/29/2014,2014,272,76,23.04239583,TS2,5,CP,5,stemp,msr,NA,°C
09/30/2014,2014,273,77,23.18354167,TS2,5,CP,5,stemp,msr,NA,°C
10/01/2014,2014,274,78,23.25416667,TS2,5,CP,5,stemp,msr,NA,°C
10/02/2014,2014,275,79,22.11385417,TS2,5,CP,5,stemp,msr,NA,°C
10/03/2014,2014,276,80,20.29072917,TS2,5,CP,5,stemp,msr,NA,°C
10/04/2014,2014,277,81,19.69604167,TS2,5,CP,5,stemp,msr,NA,°C
10/05/2014,2014,278,82,19.801875,TS2,5,CP,5,stemp,msr,NA,°C
10/06/2014,2014,279,83,20.27677083,TS2,5,CP,5,stemp,msr,NA,°C
10/07/2014,2014,280,84,20.58760417,TS2,5,CP,5,stemp,msr,NA,°C
10/08/2014,2014,281,85,20.72338028,TS2,5,CP,5,stemp,msr,NA,°C
10/10/2014,2014,283,87,23.59632653,TS2,5,CP,5,stemp,msr,NA,°C
10/11/2014,2014,284,88,23.16072917,TS2,5,CP,5,stemp,msr,NA,°C
10/12/2014,2014,285,89,23.7621875,TS2,5,CP,5,stemp,msr,NA,°C
10/13/2014,2014,286,90,24.0634375,TS2,5,CP,5,stemp,msr,NA,°C
10/14/2014,2014,287,91,24.69322917,TS2,5,CP,5,stemp,msr,NA,°C
10/15/2014,2014,288,92,25.29489583,TS2,5,CP,5,stemp,msr,NA,°C
10/16/2014,2014,289,93,25.20375,TS2,5,CP,5,stemp,msr,NA,°C
10/17/2014,2014,290,94,25.81083333,TS2,5,CP,5,stemp,msr,NA,°C
10/18/2014,2014,291,95,25.7496875,TS2,5,CP,5,stemp,msr,NA,°C
10/19/2014,2014,292,96,25.85364583,TS2,5,CP,5,stemp,msr,NA,°C
10/20/2014,2014,293,97,24.86072917,TS2,5,CP,5,stemp,msr,NA,°C
10/21/2014,2014,294,98,23.5634375,TS2,5,CP,5,stemp,msr,NA,°C
10/22/2014,2014,295,99,23.39677083,TS2,5,CP,5,stemp,msr,NA,°C
10/23/2014,2014,296,100,23.94541667,TS2,5,CP,5,stemp,msr,NA,°C
10/24/2014,2014,297,101,24.87614583,TS2,5,CP,5,stemp,msr,NA,°C
10/25/2014,2014,298,102,24.63208333,TS2,5,CP,5,stemp,msr,NA,°C
10/26/2014,2014,299,103,24.62229167,TS2,5,CP,5,stemp,msr,NA,°C
10/27/2014,2014,300,104,24.54177083,TS2,5,CP,5,stemp,msr,NA,°C
10/28/2014,2014,301,105,23.74375,TS2,5,CP,5,stemp,msr,NA,°C
10/29/2014,2014,302,106,23.925625,TS2,5,CP,5,stemp,msr,NA,°C
10/30/2014,2014,303,107,24.27574468,TS2,5,CP,5,stemp,msr,NA,°C
10/31/2014,2014,304,108,24.9275,TS2,5,CP,5,stemp,msr,NA,°C
11/01/2014,2014,305,109,25.44989583,TS2,5,CP,5,stemp,msr,NA,°C
11/02/2014,2014,306,110,25.42416667,TS2,5,CP,5,stemp,msr,NA,°C
11/03/2014,2014,307,111,25.22333333,TS2,5,CP,5,stemp,msr,NA,°C
11/04/2014,2014,308,112,24.935,TS2,5,CP,5,stemp,msr,NA,°C
11/05/2014,2014,309,113,24.60104167,TS2,5,CP,5,stemp,msr,NA,°C
11/06/2014,2014,310,114,24.91083333,TS2,5,CP,5,stemp,msr,NA,°C
11/07/2014,2014,311,115,25.21322917,TS2,5,CP,5,stemp,msr,NA,°C
11/08/2014,2014,312,116,24.60552083,TS2,5,CP,5,stemp,msr,NA,°C
11/09/2014,2014,313,117,24.88354167,TS2,5,CP,5,stemp,msr,NA,°C
11/10/2014,2014,314,118,24.61354167,TS2,5,CP,5,stemp,msr,NA,°C
11/11/2014,2014,315,119,24.28923913,TS2,5,CP,5,stemp,msr,NA,°C
11/12/2014,2014,316,120,24.00552083,TS2,5,CP,5,stemp,msr,NA,°C
11/13/2014,2014,317,121,24.4271875,TS2,5,CP,5,stemp,msr,NA,°C
11/14/2014,2014,318,122,24.05958333,TS2,5,CP,5,stemp,msr,NA,°C
11/15/2014,2014,319,123,23.58770833,TS2,5,CP,5,stemp,msr,NA,°C
11/16/2014,2014,320,124,23.40229167,TS2,5,CP,5,stemp,msr,NA,°C
